,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,full_text,full_text_cleaned,scores_sum,sentences,scores
1560,1560,4.0,0.25,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['rewrit', 'autopliot', 'softwar', 'ground', 'add', 'selfdriv', 'featur', 'softwar', 'selfdriv', 'qa']","Tesla Rewriting Autopliot Software From The Ground Up To Add More Selfdriving Features - https://t.co/yPHqtc59SZ  #tesla, #autopilot, #software, #selfdriving, #autonomous, #QA https://t.co/5f3FVUL8K6",rewrit autopliot softwar ground add selfdriv featur softwar selfdriv qa,0.994,"['Tesla Rewriting Autopliot Software From The Ground Up To Add More Selfdriving Features - tesla, autopilot, software, selfdriving, autonomous, QA']",[0.994]
1561,1561,2.0,0.2239,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['benefit', 'context', 'intervent', 'qualit', 'data', 'experi', 'benefit', 'driver', 'provid', 'feedback', 'educ', 'increas', 'trust', 'amp', 'transpar', 'function']","Benefits to Tesla: more context for interventions and qualitative data of Autopilot Experience.

Benefits to Driver: If Tesla provides feedback , education + increase trust  &amp; transparency with Autonomous functionality.",benefit context intervent qualit data experi benefit driver provid feedback educ increas trust amp transpar function,1.0,"['Benefits to Tesla: more context for interventions and qualitative data of Autopilot Experience.', 'Benefits to Driver: If Tesla provides feedback , education + increase trust &amp; transparency with Autonomous functionality.']","[1.0, 0.999]"
1562,1562,2.0,0.3065,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['see', 'road', 'selfdrivingcar', 'smartcar', 'transport', 'ai', 'machinelearn', 'ml', '5g', 'deeplearn', 'artificialintellig', 'andi', 'staub']","Here’s how the Tesla autopilot sees the road!

@Tesla 

#SelfDrivingCars #SmartCar #Autonomous #Transport #AI #MachineLearning #ML #5G #DeepLearning #ArtificialIntelligence

@Ronald_vanLoon @jblefevre60  andi_staub @LouisSerge 

 https://t.co/ohKg3EyNqF https://t.co/rq5spKTDmw",see road selfdrivingcar smartcar transport ai machinelearn ml 5g deeplearn artificialintellig andi staub,0.004,"['Here’s how the Tesla autopilot sees the road!', 'SelfDrivingCars SmartCar Autonomous Transport AI MachineLearning ML 5G DeepLearning ArtificialIntelligence andi_staub']","[0.999, -0.991]"
1563,1563,0.0,0.2261,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['found', 'gt', 'silicon', 'give', 'product', 'line', 'advantag']","https://t.co/j61grkdgX2 Found &gt; “How Autopilot And Tesla's Own Silicon Gives It An Autonomous Production-Line Advantage
 https://t.co/8aHFsGI6w4",found gt silicon give product line advantag,0.996,"[""Found “How Autopilot And Tesla's Own Silicon Gives It An Autonomous Production-Line Advantage""]",[0.996]
1564,1564,3.0,0.2729,"drive, full, level, 2, musk, elon, year, call, 5, claim","['problem', 'jan', 'still', 'today', 'butt', 'dial', 'purchas', 'fulli', 'drive', 'heat', 'back', 'seat', '12218', 'app', 'allow', 'refund', '48', 'hour', 'button', 'ask', 'refund']","So a problem from Jan is still here. Today I butt dialed a purchase of autopilot, fully autonomous driving, and heated back seats ($12218). Tesla app allows refunds for 48 hours, but there's no button to ask for refund on autopilot. https://t.co/qciA0vbUJb",problem jan still today butt dial purchas fulli drive heat back seat 12218 app allow refund 48 hour button ask refund,-0.344,"['So a problem from Jan is still here.', 'Today I butt dialed a purchase of autopilot, fully autonomous driving, and heated back seats ($12218).', ""Tesla app allows refunds for 48 hours, but there's no button to ask for refund on autopilot.""]","[-0.909, 0.876, -0.999]"
1565,1565,2.0,0.3529,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['mind', 'blown', 'futur', 'transport', 'amp', 'automot', 'see', 'road', 'via', 'video', 'selfdrivingcar', 'smartcar', 'ai', 'machinelearn', 'ml', '5g', 'deeplearn', 'artificialintellig', 'robot', 'cc']",Mind blown 🤯 #Future of #Transport &amp; #Automotive! How the #Tesla #autopilot sees the #road via @HaroldSinnott in #video 👇🏽#SelfDrivingCars #SmartCar #Autonomous #AI #MachineLearning #ML #5G #DeepLearning #ArtificialIntelligence #Robotics cc @andi_staub @mvollmer1 @MikeQuindazzi,mind blown futur transport amp automot see road via video selfdrivingcar smartcar ai machinelearn ml 5g deeplearn artificialintellig robot cc,0.982,"['Mind blown 🤯 Future of Transport &amp; Automotive!', 'How the Tesla autopilot sees the road via in video 👇🏽#SelfDrivingCars SmartCar Autonomous AI MachineLearning ML 5G DeepLearning ArtificialIntelligence Robotics cc']","[0.99, 0.974]"
1566,1566,2.0,0.4125,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['model', '3', 'avoid', 'nasti', 'rear', 'end', 'crash', 'humandriv', 'selfdrivingcar', 'ai', 'iot', '5g', 'autonomousvehicl', 'selfdriv', 'robot', 'driverless', 'driverlesscar', 'startup', 'smartciti', 'startup', 'robot', 'machinelearn', 'mobil']","#Tesla Model 3 Avoids Nasty Rear-End Crash: #Autopilot Or #HumanDriver? 

https://t.co/6fdw4Mj112
#SelfDrivingCars #AI #IoT #5G #AutonomousVehicles #selfdriving #autonomous #Robotics #driverless #driverlesscars #startups #SmartCity #startup #Robot #MachineLearning #Mobility https://t.co/4F0QBANdxM",model 3 avoid nasti rear end crash humandriv selfdrivingcar ai iot 5g autonomousvehicl selfdriv robot driverless driverlesscar startup smartciti startup robot machinelearn mobil,-0.908,['Tesla Model 3 Avoids Nasty Rear-End Crash: Autopilot Or HumanDriver?'],[-0.908]
1567,1567,3.0,0.2586,"drive, full, level, 2, musk, elon, year, call, 5, claim","['elon', 'custom', 'support', 'even', 'wors', 'claim', 'last', 'time', 'insult', 'custom']","Elon @elonmusk, your Customer Support at Tesla is even worse than I claimed last time.
It is an insult to your customers. https://t.co/3HZ2YSjigS",elon custom support even wors claim last time insult custom,-1.0,"['Elon your Customer Support at Tesla is even worse than I claimed last time.', 'It is an insult to your customers.']","[-1.0, -0.999]"
1568,1568,2.0,0.3047,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['cockpit', 'view', 'see', 'road', 'selfdrivingcar', 'smartcar', 'transport', 'ai', 'machinelearn', 'ml', '5g', 'deeplearn', 'artificialintellig']","#Cockpit view of how the Tesla autopilot sees the road!
#SelfDrivingCars #SmartCar #Autonomous #Transport #AI #MachineLearning #ML #5G #DeepLearning #ArtificialIntelligence https://t.co/fAvrHtEFAj",cockpit view see road selfdrivingcar smartcar transport ai machinelearn ml 5g deeplearn artificialintellig,1.0,['Cockpit view of how the Tesla autopilot sees the road!'],[1.0]
1569,1569,0.0,0.2142,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['knew', 'intens', 'earli', 'starlink', 'provid', 'financi', 'need', 'make', 'multiplanetar', 'realiti', 'ai', 'reach', 'point', 'mar', 'take', 'place', 'work', 'done', 'liter', 'ice', 'cake', 'neuralink']","I knew his intensions from early on. Starlink and Tesla will provide the financial needs to make multiplanetarism a reality.  Autopilot AI will reach a point where an autonomous Mars can take place. This will work, and will be done. The literal icing on the cake is Neuralink.",knew intens earli starlink provid financi need make multiplanetar realiti ai reach point mar take place work done liter ice cake neuralink,0.197,"['I knew his intensions from early on.', 'Starlink and Tesla will provide the financial needs to make multiplanetarism a reality.', 'Autopilot AI will reach a point where an autonomous Mars can take place.', 'This will work, and will be done.', 'The literal icing on the cake is Neuralink.']","[0.997, 0.983, -0.999, 0.999, -0.995]"
1570,1570,4.0,0.2348,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['compar', '737', 'new', 'technolog', 'new', 'detect', 'system', 'like', 'one', 'heavili', 'regul', 'sure', 'allow', 'decis', 'vehicl', 'like', 'current', 'assist', 'driver']",@Andyrewjw @cleantechnica It's not comparable as the 737 isn't a new technology. A new detection system like this one will be heavily regulated and will surely not be allowed for decisions in autonomous vehicles. Just like Tesla autopilot is currently just an assistance for the driver.,compar 737 new technolog new detect system like one heavili regul sure allow decis vehicl like current assist driver,-0.221,"[""It's not comparable as the 737 isn't a new technology."", 'A new detection system like this one will be heavily regulated and will surely not be allowed for decisions in autonomous vehicles.', 'Just like Tesla autopilot is currently just an assistance for the driver.']","[-1.0, -0.648, 0.985]"
1571,1571,0.0,0.2414,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['still', 'allow', 'focus', 'drive', 'still', 'far', 'fulli', 'peopl', 'accid', 'pay', 'attent', 'road']","@MonetaryWonk @MishoMoney @dandolfa You're still not allowed not to focus on driving. It's still far from fully autonomous.
Most people who had accidents with Tesla in autopilot were not paying attention to the road.",still allow focus drive still far fulli peopl accid pay attent road,-0.434,"[""You're still not allowed not to focus on driving."", ""It's still far from fully autonomous."", 'Most people who had accidents with Tesla in autopilot were not paying attention to the road.']","[0.575, -0.999, -0.877]"
1572,1572,1.0,0.2451,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['essenti', 'long', 'term', 'purpos', 'stock', 'help', 'make', 'life', 'multiplanetari', 'ensur', 'continu', 'massiv', 'capit', 'need', '10', '20', 'year', 'fortun', 'goal', 'acceler', 'sustain', 'energi', 'amp', 'autonomi', 'most', 'accomplish']","@valleyhack Essentially. Long-term purpose of my Tesla stock is to help make life multiplanetary to ensure it’s continuance. The massive capital needs are in 10 to 20 years. By then, if we’re fortunate, Tesla’s goal of accelerating sustainable energy &amp; autonomy will be mostly accomplished.",essenti long term purpos stock help make life multiplanetari ensur continu massiv capit need 10 20 year fortun goal acceler sustain energi amp autonomi most accomplish,0.441,"['Essentially.', 'Long-term purpose of my Tesla stock is to help make life multiplanetary to ensure it’s continuance.', 'The massive capital needs are in 10 to 20 years.', 'By then, if we’re fortunate, Tesla’s goal of accelerating sustainable energy &amp; autonomy will be mostly accomplished.']","[0.95, 1.0, -0.896, 0.709]"
1573,1573,4.0,0.3065,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['joke', 'inaccur', 'time', 'tweet', 'current', 'featur', 'requir', 'activ', 'driver', 'supervis', 'make', 'vehicl']",@Dadsaysjokes This joke is inaccurate at the time of tweet because current @Tesla Autopilot features require active driver supervision and do not make the vehicle autonomous.,joke inaccur time tweet current featur requir activ driver supervis make vehicl,-1.0,['This joke is inaccurate at the time of tweet because current Autopilot features require active driver supervision and do not make the vehicle autonomous.'],[-1.0]
1574,1574,4.0,0.2576,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['true', 'fulli', 'self', 'drive', 'one', 'accid', 'per', '1', '99', '2', '55', 'million', 'depend', 'quarter', 'take', 'data', 'fulli', 'vehicl', 'much', 'better', 'stat', 'enough', 'mile', 'certain', 'sampl', 'size', 'small']","@inventorforlife @jonrog1 @AndrewYang Tesla autopilot (not true fully autonomous self driving) has one accident per 1.99-2.55 million, depending on the quarter you take data from
Fully autonomous vehicles have much better stats- but they haven’t had enough miles to be certain (sample size too small)",true fulli self drive one accid per 1 99 2 55 million depend quarter take data fulli vehicl much better stat enough mile certain sampl size small,-1.0,"['Tesla autopilot (not true fully autonomous self driving) has one accident per 1.99-2.55 million, depending on the quarter you take data from Fully autonomous vehicles have much better stats- but they haven’t had enough miles to be certain (sample size too small)']",[-1.0]
1575,1575,4.0,0.2474,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['found', 'way', 'cl', 'class', 'nowaday', 'radar', 'technolog', 'car', 'use', 'differ', 'purpos', 'featur', 'safeti', 'featur', 'collis', 'warn', 'lane', 'departur', 'assist', 'auto', 'emerg', 'brake', 'traffic', 'jam', 'assist', 'use', 'radar', 'tech']","found it's way to the CL-Class. Nowadays, radar technology in cars is used for different purposes such as Tesla's autonomous autopilot feature. Safety features such as collision warning, lane departure assist, auto emergency braking, traffic jam assist use radar tech. https://t.co/ABBOkd4J6l",found way cl class nowaday radar technolog car use differ purpos featur safeti featur collis warn lane departur assist auto emerg brake traffic jam assist use radar tech,0.99,"[""found it's way to the CL-Class."", ""Nowadays, radar technology in cars is used for different purposes such as Tesla's autonomous autopilot feature."", 'Safety features such as collision warning, lane departure assist, auto emergency braking, traffic jam assist use radar tech.']","[0.984, 0.989, 0.998]"
1576,1576,2.0,0.3065,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['top', 'stori', 'see', 'road', 'selfdrivingcar', 'smartcar', 'transport', 'ai', 'machinelearn', 'ml', 'deeplearn', 'artificialintellig', 'cc', 'see']","Top story: @Ronald_vanLoon: 'Here's how the Tesla autopilot sees the road!
by @Tesla @jblefevre60

#SelfDrivingCars #SmartCar #Autonomous #Transport #AI #MachineLearning #ML #DeepLearning #ArtificialIntelligence

Cc: @S… https://t.co/YtIhe48wCz, see more https://t.co/euzEGjDzyp",top stori see road selfdrivingcar smartcar transport ai machinelearn ml deeplearn artificialintellig cc see,0.662,"[""Top story: 'Here's how the Tesla autopilot sees the road! by SelfDrivingCars SmartCar Autonomous Transport AI MachineLearning ML DeepLearning ArtificialIntelligence Cc: see more""]",[0.662]
1577,1577,4.0,0.2437,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['statist', 'show', 'nine', 'time', 'like', 'crash', 'car', 'driven', 'twat']","@StuInNorway @DashCamTwats Statistics show you are nine times more likely to crash your car than in an autonomous or autopilot driven Tesla...

Who’s the twat now... ? https://t.co/wM5oqnIRdP",statist show nine time like crash car driven twat,-0.824,"['Statistics show you are nine times more likely to crash your car than in an autonomous or autopilot driven Tesla...', 'Who’s the twat now...', '?']","[-0.996, -0.526, -0.949]"
1578,1578,0.0,0.2945,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['requir', 'stop', 'call', 'system', 'requir', 'driver', 'monitor', 'system', 'good', 'chanc', 'would', 'talk', 'lot', 'less', 'adasasap']","Again, if @Tesla had been required not only to stop calling their systems #Autopilot, but to require Driver Monitoring Systems, there’s a good chance the @Ctr4AutoSafety would be talking about them a lot less. #ADASASAP https://t.co/UqpfLdNVRQ",requir stop call system requir driver monitor system good chanc would talk lot less adasasap,-0.998,"['Again, if had been required not only to stop calling their systems Autopilot, but to require Driver Monitoring Systems, there’s a good chance the would be talking about them a lot less.']",[-0.998]
1579,1579,2.0,0.3349,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['wow', 'selfdriv', 'driverless', 'smartcar', 'artificialintellig', 'ai', 'machinelearn', 'ml', 'algorithm', 'deeplearn', 'hci', 'technolog', 'futur', 'futuredesign', 'futuretech', 'innov', 'industry40', 'digitaltransform', 'thank', 'share']","Wow!
#tesla #autopilot #autonomous #SelfDriving #driverless #smartcar #ArtificialIntelligence #AI #MachineLearning #ML #Algorithms #DeepLearning #hci  #Technology #Future #FutureDesign #FutureTech #innovation #Industry40 #DigitalTransformation
Thanks for sharing to @HaroldSinnott",wow selfdriv driverless smartcar artificialintellig ai machinelearn ml algorithm deeplearn hci technolog futur futuredesign futuretech innov industry40 digitaltransform thank share,0.999,"['Wow!', 'tesla autopilot autonomous SelfDriving driverless smartcar ArtificialIntelligence AI MachineLearning ML Algorithms DeepLearning hci Technology Future FutureDesign FutureTech innovation Industry40 DigitalTransformation Thanks for sharing to']","[0.999, 0.999]"
1580,1580,3.0,0.2646,"drive, full, level, 2, musk, elon, year, call, 5, claim","['get', 'hope', 'probabl', 'work', 'lidar', 'rather', 'compani', 'ceo', 'elon', 'musk', 'realli', 'fan', 'lidar', 'sensor', 'come', 'vehicl']","Don’t get your hopes up, Tesla probably isn’t working on LiDAR for Autopilot - 
https://t.co/VC6rUr3mZm

                            Tesla, or rather the company’s CEO Elon Musk, isn’t really a fan of LiDAR sensors when it comes to autonomous vehicles. https://t.co/l6FYvUzvef",get hope probabl work lidar rather compani ceo elon musk realli fan lidar sensor come vehicl,-1.0,"['Don’t get your hopes up, Tesla probably isn’t working on LiDAR for Autopilot - Tesla, or rather the company’s CEO Elon Musk, isn’t really a fan of LiDAR sensors when it comes to autonomous vehicles.']",[-1.0]
1581,1581,2.0,0.3382,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['wow', 'futur', 'transport', 'amp', 'automot', 'see', 'road', 'video', 'via', 'selfdrivingcar', 'smartcar', 'transport', 'ai', 'machinelearn', 'ml', '5g', 'deeplearn', 'artificialintellig', 'tech', 'data']",Wow 😮 #Future of #Transport &amp; #Automotive! How the #Tesla autopilot sees the road in the #video👇🏽via @HaroldSinnott #SelfDrivingCars #SmartCar #Autonomous #Transport #AI #MachineLearning #ML #5G #DeepLearning #ArtificialIntelligence #Tech #Data @mvollmer1 @andi_staub @Nicochan33,wow futur transport amp automot see road video via selfdrivingcar smartcar transport ai machinelearn ml 5g deeplearn artificialintellig tech data,0.036,"['Wow 😮 Future of Transport &amp; Automotive!', 'How the Tesla autopilot sees the road in the video👇🏽via SelfDrivingCars SmartCar Autonomous Transport AI MachineLearning ML 5G DeepLearning ArtificialIntelligence Tech Data']","[0.999, -0.927]"
1582,1582,2.0,0.342,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['futur', 'mobil', 'see', 'road', 'via', 'video', 'selfdrivingcar', 'smartcar', 'transport', 'ai', 'machinelearn', 'ml', 'deeplearn', 'artificialintellig', 'robot', 'cc']",#Future of #Mobility! #How #Tesla #autopilot sees the road from @jblefevre60 via @Ronald_vanLoon in #video👇🏽#SelfDrivingCars #SmartCar #Autonomous #Transport #AI #MachineLearning #ML #DeepLearning #ArtificialIntelligence #Robotics cc @mvollmer1 @PawlowskiMario @MargaretSiegien,futur mobil see road via video selfdrivingcar smartcar transport ai machinelearn ml deeplearn artificialintellig robot cc,0.879,"['Future of Mobility!', 'How Tesla autopilot sees the road from via in video👇🏽#SelfDrivingCars SmartCar Autonomous Transport AI MachineLearning ML DeepLearning ArtificialIntelligence Robotics cc']","[0.999, 0.758]"
1583,1583,3.0,0.2542,"drive, full, level, 2, musk, elon, year, call, 5, claim","['use', 'lidar', 'valid', 'need', 'capabl', 'true', 'drive', 'requir', 'lidar', 'everyon', 'know', 'beyond', 'fan']",@killr0y1 @ElectrekCo @FredericLambert So they use Lidar to validate but it's not needed in their autopilot capabilities... True autonomous driving requires lidar. Everyone knows it beyond Tesla fans.,use lidar valid need capabl true drive requir lidar everyon know beyond fan,-0.206,"[""So they use Lidar to validate but it's not needed in their autopilot capabilities..."", 'True autonomous driving requires lidar.', 'Everyone knows it beyond Tesla fans.']","[-0.81, -0.809, 1.0]"
1584,1584,2.0,0.3148,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['see', 'road', 'v', 'selfdrivingcar', 'smartcar', 'transport', 'ai', 'machinelearn', 'ml', 'deeplearn', 'artificialintellig', 'cc']","Here's how the Tesla autopilot sees the road!
V/ @Tesla
RT @jblefevre60 @Ronald_vanLoon 

#SelfDrivingCars #SmartCar #Autonomous #Transport #AI #MachineLearning #ML #DeepLearning #ArtificialIntelligence
Cc: @SpirosMargaris @HaroldSinnott @salahkhawaja  @Paula_Piccard @mvollmer1 https://t.co/Jplts7V20c",see road v selfdrivingcar smartcar transport ai machinelearn ml deeplearn artificialintellig cc,0.009,"[""Here's how the Tesla autopilot sees the road!"", 'V/ RT SelfDrivingCars SmartCar Autonomous Transport AI MachineLearning ML DeepLearning ArtificialIntelligence Cc:']","[0.999, -0.981]"
1585,1585,4.0,0.2381,"car, vehicl, featur, make, road, requir, mile, current, accid, 1","['owner', 'think', 'car', 'l5', 'vehicl', 'way', 'oper', 'make', 'imposs', 'owner', 'think', 'way', 'differ', 'ignor', 'neglig', 'later', 'accid', 'happen']",@srchvrs @ID_AA_Carmack Tesla owners do not think their cars are L5 autonomous vehicles. The way Autopilot operates makes it impossible for owners to think this way. There’s difference between ignorance and negligence. The later is why these accidents happen.,owner think car l5 vehicl way oper make imposs owner think way differ ignor neglig later accid happen,-0.936,"['Tesla owners do not think their cars are L5 autonomous vehicles.', 'The way Autopilot operates makes it impossible for owners to think this way.', 'There’s difference between ignorance and negligence.', 'The later is why these accidents happen.']","[-0.992, -0.973, -0.785, -0.994]"
1586,1586,0.0,0.2769,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['problem', 'talk', 'featur', 'drive', 'capabl', 'name', 'impli', 'fact', 'simpli', 'advanc', 'cruis', 'control', 'featur', 'even', 'sae', 'level', '3']","@RyanNBCBoston @hiltonholloway @MassStatePolice @AllyNBCBoston @JimHaddadin @LeslieNBCBoston @JBrunoNBCBoston @ShanNBCBoston @RaulNBCBoston @MikeRNBCBoston @EliNBCBoston @KatNBCBoston @safe4u2 The problem is Tesla talks about its Autopilot feature as if it has autonomous driving capability, and its name implies that. In fact it is simply an advanced cruise control with some autonomous features. Not even SAE Level 3.",problem talk featur drive capabl name impli fact simpli advanc cruis control featur even sae level 3,-0.479,"['The problem is Tesla talks about its Autopilot feature as if it has autonomous driving capability, and its name implies that.', 'In fact it is simply an advanced cruise control with some autonomous features.', 'Not even SAE Level 3.']","[-0.999, 0.563, -1.0]"
1587,1587,2.0,0.3714,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['l', 'error', 'ferma', 'l', 'auto', 'da', 'burger', 'king', 'guidaautonoma', 'selfdrivingcar', 'ai', 'iot', '5g', 'autonomousvehicl', 'selfdriv', 'robot', 'driverless', 'driverlesscar', 'startup', 'smartciti', 'startup', 'robot', 'machinelearn', 'mobil', 'travel']","#Tesla #Autopilot: l'errore ferma l'auto da Burger King

https://t.co/kWS4IVMhBJ
#Guidaautonoma #SelfDrivingCars #AI #IoT #5G #AutonomousVehicles #selfdriving #autonomous #Robotics #driverless #driverlesscars #startups #SmartCity #startup #Robot #MachineLearning #Mobility #Travel https://t.co/3CejNmmlPw",l error ferma l auto da burger king guidaautonoma selfdrivingcar ai iot 5g autonomousvehicl selfdriv robot driverless driverlesscar startup smartciti startup robot machinelearn mobil travel,0.948,"[""Tesla Autopilot: l'errore ferma l'auto da Burger King Guidaautonoma SelfDrivingCars AI IoT 5G AutonomousVehicles selfdriving autonomous Robotics driverless driverlesscars startups SmartCity startup Robot MachineLearning Mobility Travel""]",[0.948]
1588,1588,2.0,0.3097,"robot, ai, crash, startup, selfdriv, tech, selfdrivingcar, autonomousvehicl, technolog, driverless","['t1972', 'see', 'road', 'selfdrivingcar', 'smartcar', 'transport', 'ai', 'machinelearn', 'ml', 'deeplearn', 'artificialintellig', 'cc']","T1972
Here's how the Tesla autopilot sees the road!
by @Tesla @jblefevre60

#SelfDrivingCars #SmartCar #Autonomous #Transport #AI #MachineLearning #ML #DeepLearning #ArtificialIntelligence

Cc: @SpirosMargaris @HaroldSinnott @Paula_Piccard @SanitizeWe https://t.co/FL59hawNpV",t1972 see road selfdrivingcar smartcar transport ai machinelearn ml deeplearn artificialintellig cc,-0.901,"[""T1972 Here's how the Tesla autopilot sees the road! by SelfDrivingCars SmartCar Autonomous Transport AI MachineLearning ML DeepLearning ArtificialIntelligence Cc:""]",[-0.901]
1589,1589,0.0,0.2609,"driver, fulli, system, peopl, assist, time, human, capabl, attent, wheel","['decept', 'market', 'adapt', 'cruis', 'control', 'system', 'full', 'self', 'drive', 'requir', 'driver', 'monitor', 'system', 'use', 'sinc', 'fulli', 'drive', 'system']","Why does Tesla deceptively market its adaptive cruise control system as ""Autopilot"" and ""Full Self Driving"" @elonmusk?

Why doesn't Tesla require driver monitoring when these systems are in use since they are not fully autonomous driving systems?",decept market adapt cruis control system full self drive requir driver monitor system use sinc fulli drive system,-0.991,"['Why does Tesla deceptively market its adaptive cruise control system as ""Autopilot"" and ""Full Self Driving"" Why doesn\'t Tesla require driver monitoring when these systems are in use since they are not fully autonomous driving systems?']",[-0.991]
1590,1590,1.0,0.254,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['andrej', 'karpathi', 'ai', 'head', 'scalabl', 'drive']","Andrej Karpathy, Tesla AI Autopilot Head, on Scalability in Autonomous Driving
https://t.co/LBTBL8mrhF",andrej karpathi ai head scalabl drive,0.976,"['Andrej Karpathy, Tesla AI Autopilot Head, on Scalability in Autonomous Driving']",[0.976]
1591,1591,1.0,0.2255,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['new', 'studi', 'find', 'lead', 'consum', 'travel', 'car', 'will', 'drive', 'congest', 'traffic', 'word', 'vehicl', 'tech', 'like', 'increas', 'vmt', 'worsen', 'congest', 'good', 'ht']","New study finds that Tesla Autopilot ""leads to consumers traveling by car more and being more willing to drive in congested traffic.""

In other words, autonomous vehicle tech is likely to increase VMT and worsen congestion. Not good.

Ht @reillybrennan

https://t.co/hp4vEpILAG https://t.co/vEMl2ZCjqc",new studi find lead consum travel car will drive congest traffic word vehicl tech like increas vmt worsen congest good ht,-0.511,"['New study finds that Tesla Autopilot ""leads to consumers traveling by car more and being more willing to drive in congested traffic.""', 'In other words, autonomous vehicle tech is likely to increase VMT and worsen congestion.', 'Not good.', 'Ht']","[-0.986, -0.753, -1.0, 0.693]"
1592,1592,1.0,0.2667,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['ummm', 'exampl', 'car', 'compani', 'accus', 'steal', 'sourc', 'code', 'know', 'initi', 'lawsuit', 'guangzhi', 'cao', 'former', 'engin', 'quit', 'join', 'xpeng', 'drive', 'team', 'oh', 'ya', 'catch']","@ValueAnalyst1 @elonmusk @Tesla Ummm this is your example? The car company that has been accused of STEALING autopilot source code? You know - Tesla initiated a lawsuit against Guangzhi Cao, a former Autopilot engineer who quit to join Xpeng’s autonomous driving team? Oh ya - they’re catching up!!",ummm exampl car compani accus steal sourc code know initi lawsuit guangzhi cao former engin quit join xpeng drive team oh ya catch,-0.422,"['Ummm this is your example?', 'The car company that has been accused of STEALING autopilot source code?', 'You know - Tesla initiated a lawsuit against Guangzhi Cao, a former Autopilot engineer who quit to join Xpeng’s autonomous driving team?', 'Oh ya - they’re catching up!!']","[-0.692, -0.999, -0.999, 1.0]"
1593,1593,1.0,0.2239,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['ford', 'new', 'co', 'pilot360', 'featur', 'differ', 'safer', 'world', 'semi', 'drive', 'go', 'get', 'anoth', 'player', 'form', 'ford', 'activ', 'drive', 'assist', 'next', 'year', 'mani', 'compar']","How Ford’s new Co-Pilot360 feature is different from (and safer than) Tesla’s Autopilot: The world of semi-autonomous driving is going to get another player in the form of Ford’s Active Drive Assist next year. Many are comparing it to Tesla’s Autopilot,… https://t.co/q4oJuMSqdW",ford new co pilot360 featur differ safer world semi drive go get anoth player form ford activ drive assist next year mani compar,0.902,"['How Ford’s new Co-Pilot360 feature is different from (and safer than) Tesla’s Autopilot: The world of semi-autonomous driving is going to get another player in the form of Ford’s Active Drive Assist next year.', 'Many are comparing it to Tesla’s Autopilot,…']","[0.998, 0.806]"
1594,1594,1.0,0.3182,"fsd, system, semi, amp, drive, tsla, softwar, safeti, compani, test","['multi', 'billion', 'dollar', 'drive', 'industri', 'told', 'consum', 'want', 'ask', 'consum', 'need', '4', '10', 'amzn', 'zoox', 'waymo', 'tsla', 'fullselfdriv', 'fsd']","The multi-billion dollar autonomous driving industry TOLD consumers what they WANTED and didn't ASK consumers what they NEEDED...

4/10
$AMZN #Zoox #waymo #Tesla $TSLA #AutoPilot #FullSelfDriving #FSD https://t.co/UNKy9GX8Ds",multi billion dollar drive industri told consum want ask consum need 4 10 amzn zoox waymo tsla fullselfdriv fsd,0.98,"[""The multi-billion dollar autonomous driving industry TOLD consumers what they WANTED and didn't ASK consumers what they NEEDED..."", '4/10 $AMZN Zoox waymo Tesla $TSLA AutoPilot FullSelfDriving FSD']","[0.961, 0.999]"
